base_cost,shifted_cost,savings,scenario,immediate_rebound,shiftable_hours,area,year
1116960.0,976091.0,12.61174344735068,scenario1,False,5,DK2,2022
1116960.0,962458.0,13.832288875309883,scenario1,False,6,DK2,2022
1116960.0,953836.0,14.604234494647612,scenario1,False,7,DK2,2022
1116960.0,950964.0,14.861381173160005,scenario1,False,8,DK2,2022
1116960.0,950964.0,14.861381173160005,scenario1,False,9,DK2,2022
1116960.0,950964.0,14.861381173160005,scenario1,False,10,DK2,2022
1116960.0,950964.0,14.861381173160005,scenario1,False,11,DK2,2022
1116960.0,950964.0,14.861381173160005,scenario1,False,12,DK2,2022
654584.0,646152.0,1.288137324394442,scenario2,True,1,DK1,2021
654584.0,646152.0,1.288137324394442,scenario2,False,1,DK1,2021
1185301.0,1169483.0,1.334534405869532,scenario2,True,1,DK1,2022
1185301.0,1158823.0,2.2338873390981475,scenario2,True,2,DK1,2022
1185301.0,1152694.0,2.7509900298151075,scenario2,True,3,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,True,4,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,True,5,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,True,6,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,True,7,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,True,8,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,True,9,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,True,10,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,True,11,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,True,12,DK1,2022
1185301.0,1169483.0,1.334534405869532,scenario2,False,1,DK1,2022
1185301.0,1158823.0,2.2338873390981475,scenario2,False,2,DK1,2022
1185301.0,1152694.0,2.7509900298151075,scenario2,False,3,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,False,4,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,False,5,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,False,6,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,False,7,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,False,8,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,False,9,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,False,10,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,False,11,DK1,2022
1185301.0,1149587.0,3.013080480574945,scenario2,False,12,DK1,2022
652886.0,643757.0,1.3983883563254025,scenario2,True,1,DK2,2021
652886.0,637732.0,2.3212068189873745,scenario2,True,2,DK2,2021
652886.0,633837.0,2.9176560426110343,scenario2,True,3,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,True,4,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,True,5,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,True,6,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,True,7,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,True,8,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,True,9,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,True,10,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,True,11,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,True,12,DK2,2021
652886.0,643757.0,1.3983883563254025,scenario2,False,1,DK2,2021
652886.0,637732.0,2.3212068189873745,scenario2,False,2,DK2,2021
652886.0,633837.0,2.9176560426110343,scenario2,False,3,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,False,4,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,False,5,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,False,6,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,False,7,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,False,8,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,False,9,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,False,10,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,False,11,DK2,2021
652886.0,631968.0,3.2040233945262306,scenario2,False,12,DK2,2021
1116960.0,1100247.0,1.496238228295056,scenario2,True,1,DK2,2022
1116960.0,1088964.0,2.506439709136779,scenario2,True,2,DK2,2022
1116960.0,1082415.0,3.0927187449068025,scenario2,True,3,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,True,4,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,True,5,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,True,6,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,True,7,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,True,8,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,True,9,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,True,10,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,True,11,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,True,12,DK2,2022
1116960.0,1100247.0,1.496238228295056,scenario2,False,1,DK2,2022
1116960.0,1088964.0,2.506439709136779,scenario2,False,2,DK2,2022
1116960.0,1082415.0,3.0927187449068025,scenario2,False,3,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,False,4,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,False,5,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,False,6,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,False,7,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,False,8,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,False,9,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,False,10,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,False,11,DK2,2022
1116960.0,1079250.0,3.3760787021171588,scenario2,False,12,DK2,2022
654584.0,630690.0,3.6501786442766693,scenario3,True,1,DK1,2021
654584.0,609986.0,6.813116968319856,scenario3,True,2,DK1,2021
654584.0,592271.0,9.519442960773386,scenario3,True,3,DK1,2021
654584.0,577165.0,11.827133520418299,scenario3,True,4,DK1,2021
654584.0,564448.0,13.769881308744717,scenario3,True,5,DK1,2021
654584.0,553752.0,15.403934318864811,scenario3,True,6,DK1,2021
654584.0,544792.0,16.772807278836183,scenario3,True,7,DK1,2021
654584.0,537725.0,17.852317874333483,scenario3,True,8,DK1,2021
654584.0,630690.0,3.6501786442766693,scenario3,False,1,DK1,2021
654584.0,609986.0,6.813116968319856,scenario3,False,2,DK1,2021
654584.0,592271.0,9.519442960773386,scenario3,False,3,DK1,2021
654584.0,577165.0,11.827133520418299,scenario3,False,4,DK1,2021
654584.0,564448.0,13.769881308744717,scenario3,False,5,DK1,2021
654584.0,553752.0,15.403934318864811,scenario3,False,6,DK1,2021
654584.0,544792.0,16.772807278836183,scenario3,False,7,DK1,2021
654584.0,537725.0,17.852317874333483,scenario3,False,8,DK1,2021
1185301.0,1145567.0,3.352287043504037,scenario3,True,1,DK1,2022
1185301.0,1110179.0,6.337825052794726,scenario3,True,2,DK1,2022
1185301.0,1079586.0,8.918850645443047,scenario3,True,3,DK1,2022
1185301.0,1053053.0,11.157354181601436,scenario3,True,4,DK1,2022
1185301.0,1030202.0,13.085245867829624,scenario3,True,5,DK1,2022
1185301.0,1010955.0,14.708986418194673,scenario3,True,6,DK1,2022
1185301.0,995311.0,16.028866839729123,scenario3,True,7,DK1,2022
1185301.0,983037.0,17.064359285879686,scenario3,True,8,DK1,2022
1185301.0,974570.0,17.77868657176329,scenario3,True,9,DK1,2022
1185301.0,969284.0,18.224646925681018,scenario3,True,10,DK1,2022
1185301.0,966593.0,18.451718086922252,scenario3,True,11,DK1,2022
1185301.0,966593.0,18.451718086922252,scenario3,True,12,DK1,2022
1185301.0,1145567.0,3.352287043504037,scenario3,False,1,DK1,2022
1185301.0,1110179.0,6.337825052794726,scenario3,False,2,DK1,2022
1185301.0,1079586.0,8.918850645443047,scenario3,False,3,DK1,2022
1185301.0,1053053.0,11.157354181601436,scenario3,False,4,DK1,2022
1185301.0,1030202.0,13.085245867829624,scenario3,False,5,DK1,2022
